Trans. Date,Post Date,Description,Amount,Category
08/08/2020,08/08/2020,"SQ *YOGAFRESH BEL AIR, BEL AIR MD0002305843013109066904",16.37,"Restaurants"
08/09/2020,08/10/2020,"AMAZON.COM*MF0IY4RY1 AMZN.COM/BILLWA2YAVB7NKUPI",7.77,"Merchandise"
08/09/2020,08/10/2020,"APPLE.COM/BILL 866-712-7753 CAMNHN5G8D2FA0",2.99,"Merchandise"
08/09/2020,08/10/2020,"SAFEWAY 1481 BALTIMORE MD",8.59,"Supermarkets"
08/09/2020,08/10/2020,"SAFEWAY 1481 BALTIMORE MD",103.81,"Supermarkets"
08/10/2020,08/10/2020,"AMAZON.COM*MF6087HV0 AMZN.COM/BILLWA7JMXQ1Y2ZG4",13.21,"Merchandise"
08/10/2020,08/10/2020,"AMZN MKTP US*MM7LZ4C11 AMZN.COM/BILLWA4YQBLW3ITKR",19.12,"Merchandise"
08/10/2020,08/10/2020,"BJS FUEL #9040 BALTIMORE MD",39.06,"Gasoline"
08/11/2020,08/11/2020,"AMAZON.COM*MM3T48FT1 AMZN.COM/BILLWA1Q7J40A64AH",7.43,"Merchandise"
08/11/2020,08/11/2020,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-75.00,"Awards and Rebate Credits"
08/11/2020,08/11/2020,"INTERNET PAYMENT - THANK YOU",-850.00,"Payments and Credits"
08/11/2020,08/11/2020,"INTERNET PAYMENT - THANK YOU",-843.20,"Payments and Credits"
08/11/2020,08/11/2020,"STREETS MARKET & CAFE BALTIMORE MD",11.13,"Supermarkets"
08/11/2020,08/11/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",8.21,"Restaurants"
08/12/2020,08/12/2020,"BLENDERS EYEWEAR 858-999-7782 CA",100.92,"Merchandise"
08/13/2020,08/13/2020,"BALTIMORE GAS AND ELECTR 410-234-5000 MD",243.54,"Services"
08/14/2020,08/14/2020,"CANTON CROSSING WINE SPT BALTIMORE MD",31.59,"Merchandise"
08/14/2020,08/14/2020,"HARRISTEETER #392 BALTIMORE MD",6.99,"Supermarkets"
08/14/2020,08/14/2020,"HARRISTEETER #392 BALTIMORE MD",58.00,"Supermarkets"
08/14/2020,08/14/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",31.00,"Restaurants"
08/14/2020,08/14/2020,"VITAMINSHOPPE655 BALTIMORE MD120439",1.49,"Supermarkets"
08/15/2020,08/15/2020,"AMAZON.COM*MM4RB6E91 AMZN.COM/BILLWA3EBE4553J7R",6.35,"Merchandise"
08/15/2020,08/15/2020,"SPOTIFY P10E7EB9F3 8777781161 NY",4.99,"Merchandise"
08/16/2020,08/16/2020,"AMAZON.COM*MM72X5F02 AMZN.COM/BILLWA16HZCTNRMCW",26.49,"Merchandise"
08/16/2020,08/16/2020,"AT&T*BILL PAYMENT 800-331-0500 TX",208.24,"Services"
08/16/2020,08/16/2020,"SAFEWAY 1481 BALTIMORE MD",90.32,"Supermarkets"
08/16/2020,08/16/2020,"SAMS CLUB - #6650 BALTIMORE ROSMD",38.22,"Warehouse Clubs"
08/17/2020,08/17/2020,"AMZN MKTP US*MM0X66GX1 AMZN.COM/BILLWA7GJCIW5V9V9",58.97,"Merchandise"
08/17/2020,08/17/2020,"LEVELUPPOTBELLY899528 855-538-3542 MA",6.56,"Restaurants"
08/17/2020,08/17/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",12.93,"Restaurants"
08/18/2020,08/18/2020,"BJ'S FUEL #9377 BALTIMORE MD",18.73,"Gasoline"
08/18/2020,08/18/2020,"BJ'S FUEL #9377 BALTIMORE MD",40.23,"Gasoline"
08/18/2020,08/18/2020,"OFFICE DEPOT #5910 NEWVILLE PA",53.36,"Merchandise"
08/18/2020,08/18/2020,"SAFEWAY 1481 BALTIMORE MD",6.91,"Supermarkets"
08/18/2020,08/18/2020,"SAMS CLUB - #6650 BALTIMORE ROSMD",210.13,"Warehouse Clubs"
08/19/2020,08/19/2020,"MEZEH-ANNAPOLIS ANNAPOLIS MD",13.88,"Restaurants"
08/20/2020,08/20/2020,"BJS WHOLESALE #0377 BALTIMORE MD",97.76,"Warehouse Clubs"
08/20/2020,08/20/2020,"VITAMINSHOPPE655 BALTIMORE MD121352",45.97,"Supermarkets"
08/21/2020,08/21/2020,"INTERNET PAYMENT - THANK YOU",-850.00,"Payments and Credits"
08/21/2020,08/21/2020,"SAMOS GREEK ISLAND GRILL BALTIMORE MD",6.31,"Restaurants"
08/21/2020,08/21/2020,"VERIZON*ONETIMEPAY VERIZON.COM FL280529751510328330001",334.82,"Services"
08/22/2020,08/22/2020,"BJS WHOLESALE #0040 BALTIMORE MD",98.80,"Warehouse Clubs"
08/22/2020,08/22/2020,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-0.95,"Awards and Rebate Credits"
08/22/2020,08/22/2020,"INTERNET PAYMENT - THANK YOU",-2399.05,"Payments and Credits"
08/23/2020,08/23/2020,"FIRECREEK SNACKS 6182210374 IL",57.00,"Supermarkets"
08/23/2020,08/23/2020,"VIT*VITAMIN SHOPPE.COM 800-223-1216 NJWO21687139",84.98,"Supermarkets"
08/24/2020,08/24/2020,"BJ'S FUEL #9377 BALTIMORE MD",10.10,"Gasoline"
08/24/2020,08/24/2020,"GIANT 2305 PARKVILLE MD02450R",26.78,"Supermarkets"
08/25/2020,08/25/2020,"ROYAL FARMS #257 NOTTINGHAM MD",29.12,"Gasoline"
08/25/2020,08/25/2020,"SAFEWAY 1481 BALTIMORE MD",102.90,"Supermarkets"
08/26/2020,08/26/2020,"TORTILLERIA SINALOA BALTIMORE MD",15.00,"Restaurants"
08/27/2020,08/27/2020,"KOHL'S #1329 MIDDLE RIVER MD",14.57,"Department Stores"
08/27/2020,08/27/2020,"SAMS CLUB - #6650 BALTIMORE ROSMD",39.30,"Gasoline"
08/27/2020,08/27/2020,"THE HOME DEPOT #2504 PARKVILLE MD",45.52,"Home Improvement"
08/27/2020,08/27/2020,"THE HOME DEPOT #2587 BALTIMORE MD",80.56,"Home Improvement"
08/27/2020,08/27/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",13.24,"Restaurants"
08/28/2020,08/28/2020,"AMAZON.COM*MM1I75RD2 AMZN.COM/BILLWA297SKMKOT0W",7.33,"Merchandise"
08/28/2020,08/28/2020,"AMAZON.COM*MM5CW6DQ0 AMZN.COM/BILLWA7KJ8I38DWYG",42.35,"Merchandise"
08/28/2020,08/28/2020,"WEGMANS #014 HUNT VALLEY MD",59.77,"Supermarkets"
08/29/2020,08/29/2020,"GNC ABINGDON MD072604",24.99,"Supermarkets"
08/29/2020,08/29/2020,"LOCH RAVEN FISHING CTR PHOENIX MD",33.30,"Government Services"
08/29/2020,08/29/2020,"WEGMANS #014 HUNT VALLEY MD",99.58,"Supermarkets"
08/29/2020,08/29/2020,"WEGMANS BEL AIR #53 ABINGDON MD",19.45,"Supermarkets"
08/30/2020,08/30/2020,"GIANT FOOD INC #144 BALTIMORE MD03011R",10.71,"Supermarkets"
08/30/2020,08/30/2020,"KONA ICE OF CENTRAL BALT BALTIMORE MD",11.25,"Restaurants"
08/30/2020,08/30/2020,"SAMS CLUB - #6650 BALTIMORE ROSMD",91.63,"Warehouse Clubs"
08/30/2020,08/30/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",5.04,"Restaurants"
08/30/2020,08/30/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",9.92,"Restaurants"
08/31/2020,08/31/2020,"BJS FUEL #9040 BALTIMORE MD",38.65,"Gasoline"
08/31/2020,08/31/2020,"GIANT 2306 BALTIMORE MD03122R",88.00,"Supermarkets"
08/31/2020,08/31/2020,"ROSINA GOURMET BALTIMORE MD03162R",12.70,"Restaurants"
09/01/2020,09/01/2020,"AMZN MKTP US*MU5KH63I2 AMZN.COM/BILLWA1AY454LUSVZ",7.41,"Merchandise"
09/01/2020,09/01/2020,"HARRISTEETER #392 BALTIMORE MD",71.86,"Supermarkets"
09/01/2020,09/01/2020,"ROSINA GOURMET BALTIMORE MD00160R",10.59,"Restaurants"
09/01/2020,09/01/2020,"TORTILLERIA SINALOA BALTIMORE MD",8.00,"Restaurants"
09/01/2020,09/01/2020,"WEIS MARKETS 206 NOTTINGHAM MD",5.00,"Supermarkets"
09/02/2020,09/02/2020,"AMAZON.COM*MM0824YL0 AMZN.COM/BILLWAXDZL4XWH1UQ",14.43,"Merchandise"
09/02/2020,09/02/2020,"AMZN MKTP US*MU8JE7HC1 AMZN.COM/BILLWA2XJMVA5EC7M",22.49,"Merchandise"
09/03/2020,09/03/2020,"AMAZON WEB SERVICES AWS.AMAZON.COWA3LBG8XPQXBA",0.50,"Services"
09/03/2020,09/03/2020,"AMAZON.COM*MU03J9BJ1 AMZN.COM/BILLWA49FFGI9T7ZS",8.95,"Merchandise"
09/03/2020,09/03/2020,"AMAZON.COM*MU4U29F90 AMZN.COM/BILLWA1UEKP2XZZ7G",27.84,"Merchandise"
09/03/2020,09/03/2020,"AMAZON.COM*MU6W86QR1 AMZN.COM/BILLWA1Z72RAAZHCV",7.54,"Merchandise"
09/03/2020,09/03/2020,"AMZN MKTP US*MU3UZ9FX0 AMZN.COM/BILLWA57AHGZIE4K5",11.86,"Merchandise"
09/03/2020,09/03/2020,"OLYMPIA MASALA PARKVILLE MD",9.94,"Restaurants"
09/03/2020,09/03/2020,"RACE PACE BICYCLES TOWSON MD00309R",63.57,"Merchandise"
09/03/2020,09/03/2020,"WINGSTOP - 1437 - MCOMME PARKVILLE MD",26.79,"Restaurants"
09/04/2020,09/04/2020,"AMAZON.COM*MU7FD1DE1 AMZN.COM/BILLWA3L7HAZMLBX9",5.47,"Merchandise"
09/04/2020,09/04/2020,"FH* RIVER RIDERS 8554955551 WV",291.50,"Travel/ Entertainment"
09/04/2020,09/04/2020,"SAMOS GREEK ISLAND GRILL BALTIMORE MD",13.25,"Restaurants"
09/04/2020,09/04/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",21.38,"Restaurants"
09/05/2020,09/05/2020,"ALFREDOS MEDITERRANEAN CHARLES TOWN WV",89.86,"Restaurants"
09/05/2020,09/05/2020,"FH* RIVER RIDERS 8554955551 WV",111.30,"Travel/ Entertainment"
09/05/2020,09/05/2020,"GABRIEL BROS 0045 MARTINSBURG WV",25.64,"Merchandise"
09/05/2020,09/05/2020,"SHEETZ 024000002402498 CHARLESTOWN WV",12.78,"Gasoline"
09/05/2020,09/05/2020,"SHEETZ 043800004382498 CHARLES TOWN WV",18.95,"Gasoline"
09/05/2020,09/05/2020,"SHEETZ 243800024380498 CHARLES TOWN WV",47.03,"Gasoline"
09/05/2020,09/05/2020,"STARBUCKS STORE 57278 CHARLES TOWN WV682738",9.83,"Restaurants"
09/06/2020,09/06/2020,"GINZA JAPANESE STEAKHOUS CHARLES TOWN WV",32.06,"Restaurants"
09/06/2020,09/06/2020,"MI DEGOLLADO II LLC RANSON WV",68.00,"Restaurants"
09/06/2020,09/06/2020,"RIVER RIDERS HARPERS FERRYWV",11.30,"Travel/ Entertainment"
09/07/2020,09/07/2020,"HOLIDAY INN EXPRESS RANSON WV",244.08,"Travel/ Entertainment"
09/07/2020,09/07/2020,"SHEETZ 024200002428498 FREDERICK MD",13.53,"Gasoline"
09/07/2020,09/07/2020,"SHEETZ 051900005199498 FREDERICK MD",29.04,"Gasoline"
09/07/2020,09/07/2020,"THE VINTAGE LADY HARPERS FERRYWV",43.40,"Merchandise"
09/07/2020,09/07/2020,"TRUE TREATS HISTORIC CAN HARPERS FERRYWV",35.82,"Merchandise"
09/08/2020,09/08/2020,"AMAZON.COM*MU6HY2812 AMZN.COM/BILLWA3L6B9T596WZ",12.07,"Merchandise"
09/08/2020,09/08/2020,"TARGET BALTIMORE MD",15.00,"Supermarkets"
09/08/2020,09/10/2020,"CANTON CMF BALTIMORE MD",16.88,"Gasoline"
09/08/2020,09/10/2020,"CHICK-FIL-A #01049 BALTIMORE MD",12.69,"Restaurants"
09/08/2020,09/10/2020,"MCDONALD'S F25253 NOTTINGHAM MD",7.29,"Restaurants"
09/08/2020,09/10/2020,"PAYPAL *BJSWHOLESAL 402-935-7733 CA",15.78,"Merchandise"
09/08/2020,09/10/2020,"THE HOME DEPOT #2504 PARKVILLE MD",28.60,"Home Improvement"
09/09/2020,09/09/2020,"INTEREST CHARGE ON PURCHASES",28.83,"Interest"
09/09/2020,09/10/2020,"AMAZON.COM*MU74F2WE1 AMZN.COM/BILLWA6W7UDFNHND8",26.74,"Merchandise"
09/09/2020,09/10/2020,"AMAZON.COM*MU8RZ9PJ0 AMZN.COM/BILLWA5G9FZNIZQY1",10.56,"Merchandise"
09/09/2020,09/10/2020,"APPLE.COM/BILL 866-712-7753 CAMNHNF0NFZVA0",2.99,"Merchandise"
09/09/2020,09/10/2020,"BJS WHOLESALE #0040 BALTIMORE MD",137.25,"Warehouse Clubs"
09/09/2020,09/10/2020,"STAPLES DIRECT 800-3333330 MA",3.25,"Merchandise"
09/10/2020,09/10/2020,"7-ELEVEN 25816 BALTIMORE MD",20.67,"Gasoline"
09/10/2020,09/10/2020,"AMZN MKTP US*MU5VV42M2 AMZN.COM/BILLWA7BQ89G53IAJ",8.47,"Merchandise"
09/10/2020,09/10/2020,"BJ'S FUEL #9377 BALTIMORE MD",39.49,"Gasoline"
09/10/2020,09/10/2020,"CCBC BALTIMORE MD",329.00,"Education"
09/10/2020,09/10/2020,"JIMMY JOHNS - 1909 BALTIMORE MD",9.94,"Restaurants"
09/10/2020,09/10/2020,"OLYMPIA MASALA PARKVILLE MD",13.77,"Restaurants"
09/10/2020,09/10/2020,"VITAMINSHOPPE655 BALTIMORE MD124623",2.39,"Supermarkets"
09/11/2020,09/11/2020,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-59.19,"Awards and Rebate Credits"
09/11/2020,09/11/2020,"INTERNET PAYMENT - THANK YOU",-566.26,"Payments and Credits"
09/11/2020,09/11/2020,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
09/11/2020,09/11/2020,"MICROSOFT XBOX REDMOND WA",3.99,"Services"
09/11/2020,09/11/2020,"MICROSOFT XBOX REDMOND WA",7.99,"Services"
09/11/2020,09/11/2020,"MICROSOFT XBOX REDMOND WA",31.95,"Services"
09/11/2020,09/11/2020,"SAFEWAY 1481 BALTIMORE MD",4.09,"Supermarkets"
09/11/2020,09/11/2020,"SAFEWAY 1481 BALTIMORE MD",4.99,"Supermarkets"
09/11/2020,09/11/2020,"TST* FRANK S PIZZA AND P BALTIMORE MD",15.88,"Restaurants"
09/12/2020,09/12/2020,"AMAZON.COM*MU5N47IZ2 AMZN.COM/BILLWAS3FLTUJW1MS",14.43,"Merchandise"
09/12/2020,09/12/2020,"BJS FUEL #9040 BALTIMORE MD",10.16,"Gasoline"
09/12/2020,09/12/2020,"BJS WHOLESALE #0040 BALTIMORE MD",14.30,"Warehouse Clubs"
09/12/2020,09/12/2020,"THE HOME DEPOT #2504 PARKVILLE MD",38.47,"Home Improvement"
09/12/2020,09/12/2020,"TST* DENIRO S BALTIMORE MD",5.81,"Restaurants"
09/12/2020,09/12/2020,"WEIS MARKETS 206 NOTTINGHAM MD",54.58,"Supermarkets"
09/12/2020,09/12/2020,"ZIPS TOWSON TOWSON MD",12.45,"Services"
09/13/2020,09/13/2020,"AMAZON.COM*MU6R75RL2 AMZN.COM/BILLWA5M45YRDZF54",40.92,"Merchandise"
09/13/2020,09/13/2020,"H MART - CATONSVILLE CATONSVILLE MD",31.74,"Supermarkets"
09/13/2020,09/13/2020,"MCDONALD'S F20966 NOTTINGHAM MD",3.97,"Restaurants"
09/13/2020,09/13/2020,"MCDONALD'S F20966 NOTTINGHAM MD",9.85,"Restaurants"
09/13/2020,09/13/2020,"PARK RIDGE CREAMERY LLC DANIELS MD",15.01,"Supermarkets"
09/13/2020,09/13/2020,"PAYPAL *OKKAANDRIAN 888-221-1161 CA",49.98,"Merchandise"
09/13/2020,09/13/2020,"SQ *CLARK'S ELIOAK FAR COLUMBIA MD0002305843013212973603",43.00,"Merchandise"
09/13/2020,09/13/2020,"STARBUCKS STORE 13762 CATONSVILLE MD718536",5.25,"Restaurants"
09/13/2020,09/13/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",2.12,"Restaurants"
09/13/2020,09/13/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",10.86,"Restaurants"
09/14/2020,09/14/2020,"RICHARDSON FARMS WHITE MARSH MD",29.25,"Supermarkets"
09/15/2020,09/15/2020,"GNC BALTIMORE MD076291",2.80,"Supermarkets"
09/15/2020,09/15/2020,"MAMMA LUCIA PARKVILLE MD",18.00,"Restaurants"
09/15/2020,09/15/2020,"MCDONALD'S F20966 NOTTINGHAM MD",6.36,"Restaurants"
09/15/2020,09/15/2020,"MENCHIE'S #218 PERRING P PARKVILLE MD",10.28,"Restaurants"
09/15/2020,09/15/2020,"SPIRIT HALLOWEEN 60960 BEL AIR FLREG 02, TRANS 1289",50.00,"Merchandise"
09/15/2020,09/15/2020,"SPOTIFY P114FF5257 8777781161 NY",4.99,"Merchandise"
09/15/2020,09/15/2020,"SQ *POKEONO BALTIMORE BALTIMORE MD0002305843013218439917",14.46,"Restaurants"
09/16/2020,09/16/2020,"CLADDAGH PUB BALTIMORE MD",56.82,"Restaurants"
09/16/2020,09/16/2020,"WEIS MARKETS INC., #087 BALTIMORE MD",5.45,"Supermarkets"
09/17/2020,09/17/2020,"AMZN MKTP US*M490J53R2 AMZN.COM/BILLWA5E51AMDADXO",28.60,"Merchandise"
09/17/2020,09/17/2020,"AT&T*BILL PAYMENT 800-331-0500 TX",208.24,"Services"
09/17/2020,09/17/2020,"BJ'S FUEL #9377 BALTIMORE MD",13.97,"Gasoline"
09/17/2020,09/17/2020,"BJ'S FUEL #9377 BALTIMORE MD",42.01,"Gasoline"
09/17/2020,09/17/2020,"ROSINA GOURMET BALTIMORE MD01713R",25.40,"Restaurants"
09/18/2020,09/18/2020,"ALLEN EDMONDS #39083 BALTIMORE MD",153.70,"Merchandise"
09/18/2020,09/18/2020,"AMAZON.COM*M45PC7T62 AMZN.COM/BILLWA766AHKTM5OW",16.46,"Merchandise"
09/18/2020,09/18/2020,"DSW CANTON CROSSING BALTIMORE MD",21.19,"Merchandise"
09/18/2020,09/18/2020,"MCDONALD'S F20966 NOTTINGHAM MD",4.44,"Restaurants"
09/18/2020,09/18/2020,"PABC MULTI SPACE 3 BALTIMORE MD",4.00,"Services"
09/18/2020,09/18/2020,"PANERA BREAD #203560 P TOWSON MD01813R",11.21,"Restaurants"
09/18/2020,09/18/2020,"PAYPAL *LLBEANINC 402-935-7733 CA",94.45,"Merchandise"
09/18/2020,09/18/2020,"TARGET BALTIMORE MD",78.43,"Supermarkets"
09/18/2020,09/18/2020,"ZIPS TOWSON TOWSON MD",9.96,"Services"
09/19/2020,09/19/2020,"AMAZON.COM*M44Q430G2 AMZN.COM/BILLWA1UPFALBJWGF",8.47,"Merchandise"
09/19/2020,09/19/2020,"AMZN MKTP US*M464C90D2 AMZN.COM/BILLWA7BDAEESP7G5",20.68,"Merchandise"
09/19/2020,09/19/2020,"BEL GARDEN BI-RITE SSS BALTIMORE MD",4.87,"Supermarkets"
09/19/2020,09/19/2020,"DD/BR #340769 Q35 NEW MARKET MD",8.78,"Restaurants"
09/19/2020,09/19/2020,"INTERNET PAYMENT - THANK YOU",-2000.00,"Payments and Credits"
09/19/2020,09/19/2020,"INTERNET PAYMENT - THANK YOU",-900.00,"Payments and Credits"
09/19/2020,09/19/2020,"SQ *WINTERBROOK FARMS THURMONT MD0002305843013233851504",3.00,"Travel/ Entertainment"
09/19/2020,09/19/2020,"SQ *WINTERBROOK FARMS THURMONT MD0002305843013232927537",10.00,"Travel/ Entertainment"
09/19/2020,09/19/2020,"SQ *WINTERBROOK FARMS THURMONT MD0002305843013234763056",10.00,"Travel/ Entertainment"
09/19/2020,09/19/2020,"SQ *WINTERBROOK FARMS THURMONT MD0002305843013234292821",35.50,"Travel/ Entertainment"
09/19/2020,09/19/2020,"SQ *WINTERBROOK FARMS THURMONT MD0002305843013232812987",60.00,"Travel/ Entertainment"
09/19/2020,09/19/2020,"TORTILLERIA SINALOA BALTIMORE MD",26.00,"Restaurants"
09/20/2020,09/20/2020,"AMZN MKTP US*M42ZG8P52 AMZN.COM/BILLWA4A6O59EX2QP",18.01,"Merchandise"
09/20/2020,09/20/2020,"MICHAELS STORES 1579 NOTTINGHAM MD1579000466002009201436",31.85,"Merchandise"
09/20/2020,09/20/2020,"SAM'S ONLINE CLUB BALTIMORE MD",90.22,"Warehouse Clubs"
09/21/2020,09/21/2020,"BESTBUYCOM806303927734 888-BESTBUY MN",49.78,"Merchandise"
09/21/2020,09/21/2020,"D4C DENTAL BRANDS ATLANTA GA",32.86,"Medical Services"
09/21/2020,09/21/2020,"HARRISTEETER #392 BALTIMORE MD",3.18,"Supermarkets"
09/21/2020,09/21/2020,"MCDONALD'S F20966 NOTTINGHAM MD",10.06,"Restaurants"
09/21/2020,09/21/2020,"MISSION BBQ CANTON, MD. BALTIMORE MD",7.94,"Restaurants"
09/21/2020,09/21/2020,"PAYPAL *JAMESALLENC 888-221-1161 CA",1804.12,"Merchandise"
09/21/2020,09/21/2020,"RACE PACE BICYCLES TOWSON MD02151R",22.25,"Merchandise"
09/21/2020,09/21/2020,"TARGET BALTIMORE MD",85.52,"Supermarkets"
09/22/2020,09/22/2020,"EDIBLE ARRANGEMENTS 406 BALTIMORE MD",7.41,"Supermarkets"
09/22/2020,09/22/2020,"PAYPAL *PUMANORTHAM 402-935-7733 CA",69.95,"Merchandise"
09/22/2020,09/22/2020,"VITAMINSHOPPE655 BALTIMORE MD126600",2.39,"Supermarkets"
09/23/2020,09/23/2020,"BJS FUEL #9040 BALTIMORE MD",38.75,"Gasoline"
09/23/2020,09/23/2020,"KOHL'S #1329 MIDDLE RIVER MD",15.88,"Department Stores"
09/23/2020,09/23/2020,"SAM'S CLUB 06650 BALTIMORE MD",24.32,"Warehouse Clubs"
09/23/2020,09/23/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",8.21,"Restaurants"
09/23/2020,09/23/2020,"VITAMINSHOPPE655 BALTIMORE MD126765",21.99,"Supermarkets"
09/24/2020,09/24/2020,"CHICK-FIL-A #01086 ABINGDON MD",8.57,"Restaurants"
09/24/2020,09/24/2020,"MCDONALD'S F18290 ABINGDON MD",4.23,"Restaurants"
09/24/2020,09/24/2020,"PAYPAL *PUMANORTHAM 402-935-7733 CA",47.23,"Merchandise"
09/24/2020,09/24/2020,"RACE PACE BICYCLES TOWSON MD02471R",41.33,"Merchandise"
09/24/2020,09/24/2020,"TST* CHEF PAOLINO CAFE BALTIMORE MD",10.32,"Restaurants"
09/25/2020,09/25/2020,"AMZN MKTP US*M44T639T1 AMZN.COM/BILLWA3BDB1T2QIMN",22.25,"Merchandise"
09/25/2020,09/25/2020,"PABC MULTI SPACE 3 BALTIMORE MD",4.00,"Services"
09/25/2020,09/25/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",9.92,"Restaurants"
09/26/2020,09/26/2020,"NICKS FISH HOUSE BALTIMORE MD",137.00,"Restaurants"
09/26/2020,09/26/2020,"STARBUCKS STORE 11916 WHITE MARSH MD722542",13.20,"Restaurants"
09/26/2020,09/26/2020,"TORTILLERIA SINALOA BALTIMORE MD",34.00,"Restaurants"
09/26/2020,09/26/2020,"WALGREENS #12847 LUTHERVILLE MD",29.02,"Merchandise"
09/27/2020,09/27/2020,"BJ'S FUEL #9377 BALTIMORE MD",15.26,"Gasoline"
09/27/2020,09/27/2020,"TST* THB BAGELS & DELI - BALTIMORE MD",14.47,"Restaurants"
09/27/2020,09/27/2020,"WEIS MARKETS 206 NOTTINGHAM MD",31.16,"Supermarkets"
09/29/2020,09/29/2020,"AMAZON.COM*MK2AF1LJ1 AMZN.COM/BILLWA3QEWEA99549",9.54,"Merchandise"
09/29/2020,09/29/2020,"AMZN MKTP US*M455849C0 AMZN.COM/BILLWA1LYQ16Y38WA",10.59,"Merchandise"
09/29/2020,09/29/2020,"VITAMINSHOPPE655 BALTIMORE MD127813",3.17,"Supermarkets"
09/30/2020,09/30/2020,"AMZN MKTP US*M49VN79V0 AMZN.COM/BILLWA3YJ8SJXJM41",21.20,"Merchandise"
